name,address,city,state,zip,latitude,longitude,website
Warren County Career Center,3525 North State Route 48,Lebanon,OH,45036,39.488772,-84.202969,www.mywccc.org
Brown Mackie College-Fort Wayne,"3000 E.Coliseum Blvd., Suite 100",Fort Wayne,IN,46805,41.109132,-85.101966,www.brownmackie.edu
Paul Mitchell The School-Wichita,3242 N. Rock Road Suite 106,Wichita,KS,67226,37.648805,-97.354568,pmtswichita.com
Pinnacle Institute Of Cosmetology,461 East Plaza Drive,Mooresville,NC,28115,35.596894,-80.816426,pinnacleinstitute.edu
Career Training Academy-Monroeville,4314 Old William Penn Highway,Monroeville,PA,15146,40.442108,-79.775899,www.careerta.edu
Southern Careers Institute-Pharr,1414 N. Jackson Rd,Pharr,TX,78577,26.211217,-98.201038,www.scitexas.edu
Texas State Technical College-Marshall,"2650 E End Blvd, South",Marshall,TX,75672,32.518548,-94.349897,www.marshall.tstc.edu
Aurora St. Luke'S Medical Center-School Of Radiologic Technology,180 W. Grange Avenue,Milwaukee,WI,53207,42.947692,-87.912465,www.aurora.org/radtech
Florida National University-Main Campus,4425 West. Jose Regueiro (20Th) Avenue,Hialeah,FL,33012,25.86178,-80.321846,www.fnu.edu
Georgia Institute Of Cosmetology,3529 Atlanta Hwy,Athens,GA,30606,33.936922,-83.455565,gic.edu
Nouvelle Institute,3271 Nw 7Th St Ste 106,Miami,FL,33125,25.779312,-80.249821,nouvelleinstitute.com/
Itt Technical Institute-Fort Lauderdale,3401 S University Dr,Fort Lauderdale,FL,33328,26.078932,-80.252324,www.itt-tech.edu
Franklin Technology-Mssu,3950 E. Newman Road,Joplin,MO,64801,37.097008,-94.459584,www.franklintechjoplin.com
Professional Technical Institution Inc,Calle Comerio Final 20.5  La Aldea,Bayamon,PR,959,18.403198,-66.156923,www.ptipr.edu
Raphael'S School Of Beauty Culture Inc-Brunswick,3307 Center Rd.,Brunswick,OH,44212,41.240193,-81.804457,www.raphaelsbeautyschool.com
Sanford-Brown College-Atlanta,1140 Hammond Dr Ste A-1150,Atlanta,GA,30328,33.919927,-84.34924,www.sanfordbrown.edu/atlanta
Sanford-Brown College-Middleburg Heights,17535 Rosbough Dr Ste 100,Middleburg Heights,OH,44130,41.374227,-81.823537,www.sbcleveland.com
Caribbean University-Ponce,Ave. Ednita Nazario #1015,Ponce,PR,716,18.012811,-66.614615,www.caribbean.edu
Arizona Board Of Regents,"2020 N Central Ave, Suite 230",Phoenix,AZ,85004,33.470245,-112.07456,www.azregents.edu
Argosy University-Schaumburg,"999 North Plaza Dr., Suite 111",Schaumburg,IL,60173,42.046739,-88.042083,www.argosy.edu/schaumburg
Caribbean University-Vega Baja,"Carr 671 K.M. 5, Sector El Criollo, Bo. Algarrobo",Vega Baja,PR,964,18.444882,-66.403121,www.caribbean.edu
Manhattan School Of Computer Technology,931 Coney Island Avenue,"Brooklyn,",NY,11230,40.634492,-73.967148,www.manhattanschool.com
University Of Advancing Technology,2625 W Baseline Rd,Tempe,AZ,85283,33.377712,-111.976087,www.uat.edu
University Of Phoenix-Louisiana Campus,1 Galleria Blvd.,Metairie,LA,70001,29.995413,-90.151857,www.phoenix.edu/
University Of Phoenix-Metro Detroit Campus,5480 Corporate Dr,Troy,MI,48098,42.597588,-83.170438,www.phoenix.edu
Brown Mackie College-Hopkinsville,4001 Fort Campbell Boulevard,Hopkinsville,KY,42240,36.834025,-87.474774,www.brownmackie.edu
Paradise Valley Community College,18401 N 32Nd St,Phoenix,AZ,85032,33.652135,-112.009865,www.pvc.maricopa.edu
Indian Capital Technology Center-Sallisaw,401 Houser Industrial Blvd.,Sallisaw,OK,74955,35.446419,-94.793436,www.ictctech.com
Indian Capital Technology Center-Stilwell,Hwy 59 N And Maryetta Road,Stilwell,OK,74960,35.841572,-94.634361,www.ictctech.com
Globelle Technical Institute,Marginal 114 Monte Carlo,Vega Baja,PR,693,18.442741,-66.390576,not available
Hairitage Hair Academy,1487 S Silicon Way Ste #A3,Saint George,UT,84770,37.092129,-113.587448,hairitagehairacademy.com
Madison Media Institute,2702 Agriculture Drive,Madison,WI,53718,43.058938,-89.294256,www.mediainstitute.edu/madison
Houghton Lake Institute Of Cosmetology Llc,5921 W Houghton Lake Dr,Houghton Lake,MI,48629,44.309409,-84.760331,hl.instituteofcos.com
Arizona College Of Allied Health,4425 W Olive Avenue Suite 300,Glendale,AZ,85302,33.56636,-112.154233,www.arizonacollege.edu
Sanford-Brown Institute-Landover,"8401 Corporate Drive, Suite 500",Landover,MD,20785,38.946402,-76.862321,www.sblandover.com
Vanguard-Sentinel Adult Career And Technology Center,1306 Cedar St,Fremont,OH,43420,41.365117,-83.127881,www.vscc.k12.oh.us
Sanford-Brown Institute-White Plains,333 Westchester Avenue,White Plains,NY,10604,41.027865,-73.745206,www.sbwhiteplains.com
House Of Heavilin Beauty College-Raymore,800 W Foxwood Dr.,Raymore,MO,64083,38.905195,-94.52644,kc-hair.com
Eastern International College-Jersey City,3000 Jf Kennedy Blvd 3Rd Floor,Jersey City,NJ,7306,40.735531,-74.062845,www.eicollege.edu
Sanford-Brown Institute-Garden City,711 Stewart Avenue,Garden City,NY,11530,40.733453,-73.608238,www.sanfordbrown.edu/garden-city
Great Plains Technology Center,4500 W Lee Blvd,Lawton,OK,73505,34.593953,-98.447017,www.greatplains.edu
Roane-Jackson Technical Center,9450 Spencer Rd,Leroy,WV,25252,38.942247,-81.554764,www.roane-jacksontechnicalcenter.com/
Academia Serrant Inc,Concordia 8180 Esq Aurora,Ponce,PR,717,18.006327,-66.614318,www.serrant.edu
San Joaquin Valley College-Fresno Aviation,4985 E Anderson Ave,Fresno,CA,93727,36.775525,-119.726788,www.sjvc.edu
Lawrence County Career And Technical Center-Practical Nursing Program,750 Phelps Way,New Castle,PA,16101,40.975899,-80.330956,www.lcvt.tec.pa.us
American College Of Healthcare,"11801 Pierce St., Suite 100",Riverside,CA,92505,33.900487,-117.493808,www.ach.edu
Pioneer Technology Center,2101 N Ash,Ponca City,OK,74601,36.72772,-97.093516,pioneertech.edu
Compu-Med Vocational Careers Corp,2900 W 12Th Ave 3Rd Fl #28,Hialeah,FL,33012,25.848446,-80.306915,compumedschool.com
Professional Electrical School Inc,3 Ramos Velez St,Manati,PR,674,18.428049,-66.493084,www.peseducate.com
Georgia Military College-Columbus Campus,Not Available,Not Available,GA,not available,32.484789,-84.942363,not available
Portage Lakes Career Center,4401 Shriver Rd,Uniontown,OH,44685,40.943122,-81.472008,www.plcc.edu
American Commercial College-Wichita Falls,4317 Barnett Rd,Wichita Falls,TX,76310,33.86988,-98.577073,www.americancommercialcollege.com
Oregon Coast Community College,400 Se College Way,Newport,OR,97366,44.633822,-124.056067,www.oregoncoastcc.org
