Name,CollegeID,State_Abbreviation,State
University Of Florida,158,Florida,10
Jacksonville University,159,Florida,10
University Of Miami,160,Florida,10
University Of North Florida,161,Florida,10
Nova Southeastern University,162,Florida,10
Palm Beach Atlantic University,163,Florida,10
University Of South Florida-Main Campus,164,Florida,10
St Thomas University,165,Florida,10
Stetson University,166,Florida,10
Southeastern University,167,Florida,10
The University Of Tampa,168,Florida,10
Warner University,169,Florida,10
Webber International University,170,Florida,10
The University Of West Florida,171,Florida,10
Albany State University,172,Georgia,11
Armstrong Atlantic State University,173,Georgia,11
Point University,174,Georgia,11
Clark Atlanta University,175,Georgia,11
Berry College,176,Georgia,11
Brenau University,177,Georgia,11
Clayton  State University,178,Georgia,11
Columbus State University,179,Georgia,11
Covenant College,180,Georgia,11
Emory University,181,Georgia,11
Fort Valley State University,182,Georgia,11
Georgia Institute Of Technology-Main Campus,183,Georgia,11
Georgia Southwestern State University,184,Georgia,11
Georgia College And State University,185,Georgia,11
Georgia Southern University,186,Georgia,11
Georgia State University,187,Georgia,11
University Of Georgia,188,Georgia,11
Kennesaw State University,189,Georgia,11
Lagrange College,190,Georgia,11
Mercer University,191,Georgia,11
Oglethorpe University,192,Georgia,11
Paine College,193,Georgia,11
Piedmont College,194,Georgia,11
Reinhardt University,195,Georgia,11
Savannah State University,196,Georgia,11
Shorter University,197,Georgia,11
Southern Polytechnic State University,198,Georgia,11
Toccoa Falls College,199,Georgia,11
Valdosta State University,200,Georgia,11
Wesleyan College,201,Georgia,11
University Of West Georgia,202,Georgia,11
Chaminade University Of Honolulu,203,Hawaii,12
University Of Hawaii At Hilo,204,Hawaii,12
University Of Hawaii At Manoa,205,Hawaii,12
Hawaii Pacific University,206,Hawaii,12
Boise State University,207,Idaho,13
University Of Idaho,208,Idaho,13
The College Of Idaho,209,Idaho,13
Northwest Nazarene University,210,Idaho,13
Brigham Young University-Idaho,211,Idaho,13
Aurora University,212,Illinois,14
Blackburn College,213,Illinois,14
Bradley University,214,Illinois,14
Chicago State University,215,Illinois,14
University Of Chicago,216,Illinois,14
Concordia University-Chicago,217,Illinois,14
Depaul University,218,Illinois,14
Eastern Illinois University,219,Illinois,14
Elmhurst College,220,Illinois,14
Eureka College,221,Illinois,14
Greenville College,222,Illinois,14
University Of Illinois At Chicago,223,Illinois,14
Benedictine University,224,Illinois,14
University Of Illinois At Urbana-Champaign,225,Illinois,14
Illinois Wesleyan University,226,Illinois,14
Illinois College,227,Illinois,14
Illinois Institute Of Technology,228,Illinois,14
Illinois State University,229,Illinois,14
Judson University,230,Illinois,14
Lake Forest College,231,Illinois,14
Lewis University,232,Illinois,14
Loyola University Chicago,233,Illinois,14
Macmurray College,234,Illinois,14
Mckendree University,235,Illinois,14
Millikin University,236,Illinois,14
North Central College,237,Illinois,14
North Park University,238,Illinois,14
Northern Illinois University,239,Illinois,14
Northwestern University,240,Illinois,14
Olivet Nazarene University,241,Illinois,14
Quincy University,242,Illinois,14
Rockford University,243,Illinois,14
Roosevelt University,244,Illinois,14
Dominican University,245,Illinois,14
University Of St Francis,246,Illinois,14
Saint Xavier University,247,Illinois,14
University Of Illinois At Springfield,248,Illinois,14
Southern Illinois University-Carbondale,249,Illinois,14
Southern Illinois University-Edwardsville,250,Illinois,14
Trinity Christian College,251,Illinois,14
Trinity International University-Illinois,252,Illinois,14
Western Illinois University,253,Illinois,14
Wheaton College,254,Illinois,14
Anderson University,255,Indiana,15
Ball State University,256,Indiana,15
Bethel College-Indiana,257,Indiana,15
Butler University,258,Indiana,15
Depauw University,259,Indiana,15
Earlham College,260,Indiana,15
University Of Evansville,261,Indiana,15
Franklin College,262,Indiana,15
Goshen College,263,Indiana,15
Grace College And Theological Seminary,264,Indiana,15
Holy Cross College,265,Indiana,15
Huntington University,266,Indiana,15
Indiana University-Purdue University-Fort Wayne,267,Indiana,15
